DATE,YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,AIRPORT,CITY_NAME,DEP_DELAY_OCCURRENCE,DEP_DELAY_STRENGTH_T,DEP_DELAY_STRENGTH_A,DEP_DELAY_STRENGTH_M,ARR_DELAY_OCCURRENCE,ARR_DELAY_STRENGTH_T,ARR_DELAY_STRENGTH_A,ARR_DELAY_STRENGTH_M,ARR_DELAY_DEP_STRENGTH_T,ARR_DELAY_OPT_STRENGTH_T,ARR_DELAY_CARRIER,ARR_DELAY_WEATHER,ARR_DELAY_NAS,ARR_DELAY_SECURITY,ARR_DELAY_LATE_AIRCRAFT,DEP_CANCEL_OCCURRENCE,ARR_CANCEL_OCCURRENCE
1/1/2011,2011,1,1,6,ATL,"Atlanta, GA",0.33,15417,53.91,36.5,0.24,11940,57.4,35.5,11754,186,4600,60,1467,31,5782,0.029,0.0291
1/2/2011,2011,1,2,7,ATL,"Atlanta, GA",0.23,10639,45.08,33,0.18,8891,47.55,28,8531,360,3244,103,1551,0,3993,0.0029,0.0066
1/3/2011,2011,1,3,1,ATL,"Atlanta, GA",0.16,7636,43.14,32,0.11,5233,43.61,27.5,5353,-120,2112,29,822,0,2270,0.0046,0.0064
1/4/2011,2011,1,4,2,ATL,"Atlanta, GA",0.15,7734,47.74,32,0.14,7663,51.78,27.5,7631,32,2818,100,874,0,3871,0.0009,0.0046
1/5/2011,2011,1,5,3,ATL,"Atlanta, GA",0.14,7621,49.49,36,0.17,8283,44.53,27,6717,1566,2352,13,2006,0,3912,0.0065,0.0066
1/6/2011,2011,1,6,4,ATL,"Atlanta, GA",0.12,6307,50.46,36,0.12,6201,46.62,26,5418,783,2278,64,1290,0,2569,0.0111,0.0148
1/7/2011,2011,1,7,5,ATL,"Atlanta, GA",0.14,7945,50.61,36,0.14,7463,50.77,31,6486,977,2433,271,1630,0,3129,0.0194,0.0194
1/8/2011,2011,1,8,6,ATL,"Atlanta, GA",0.12,4529,44.4,31,0.12,4956,50.57,31,4225,731,1276,575,1211,15,1879,0.0024,0.0071
1/9/2011,2011,1,9,7,ATL,"Atlanta, GA",0.18,14060,77.68,43,0.13,7324,53.46,32,5341,1983,1857,300,2234,0,2933,0.1711,0.1766
1/10/2011,2011,1,10,1,ATL,"Atlanta, GA",0.05,5789,107.2,79.5,0.04,4124,95.91,81,3795,329,1457,469,626,0,1572,0.9417,0.9251
1/11/2011,2011,1,11,2,ATL,"Atlanta, GA",0.19,15039,72.65,61,0.16,13201,78.58,59,10053,3148,3487,1136,4100,0,4478,0.7395,0.7364
1/12/2011,2011,1,12,3,ATL,"Atlanta, GA",0.44,35222,74.15,55,0.4,34424,80.81,53.5,31916,2508,9873,1318,4208,0,19025,0.2379,0.2753
1/13/2011,2011,1,13,4,ATL,"Atlanta, GA",0.3,18731,57.46,41,0.28,18372,59.65,42.5,17258,1114,3598,2012,2664,56,10042,0.0388,0.0618
1/14/2011,2011,1,14,5,ATL,"Atlanta, GA",0.18,9114,46.74,30,0.16,7936,44.34,26,7793,143,2026,24,1292,0,4594,0.0064,0.0083
1/15/2011,2011,1,15,6,ATL,"Atlanta, GA",0.11,3986,41.09,28,0.13,5114,46.49,28,4283,831,2656,0,1310,0,1148,0.0082,0.0117
1/16/2011,2011,1,16,7,ATL,"Atlanta, GA",0.07,2655,38.48,28,0.06,2705,45.08,27,2475,230,1136,0,524,0,1045,0,0
